ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): LOUISIANA

Agency Name,State Name [District] Latest available year,State Name [District] 2016-17,Agency Name [District] 2016-17,Agency Type [District] 2016-17,Total Students All Grades (Includes AE) [District] 2016-17,Male Students [District] 2016-17,Female Students [District] 2016-17,American Indian/Alaska Native - male [District] 2016-17,American Indian/Alaska Native - female [District] 2016-17,Asian or Asian/Pacific Islander - male [District] 2016-17,Asian or Asian/Pacific Islander - female [District] 2016-17,Hispanic - male [District] 2016-17,Hispanic - female [District] 2016-17,Black or African American - male [District] 2016-17,Black or African American - female [District] 2016-17,White - male [District] 2016-17,White - female [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - male [District] 2016-17,Nat. Hawaiian or Other Pacific Isl. - female [District] 2016-17,Two or More Races - male [District] 2016-17,Two or More Races - female [District] 2016-17,Full-Time Equivalent (FTE) Teachers [District] 2016-17,Pupil/Teacher Ratio [District] 2016-17,Kindergarten Teachers [District] 2016-17,Elementary Teachers [District] 2016-17,Secondary Teachers [District] 2016-17,Total Staff [District] 2016-17,Total General Revenue (TOTALREV) [District Finance] 2016-17,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2016-17,Total Revenue - State Sources (TSTREV) [District Finance] 2016-17,Total Revenue - Local Sources (TLOCREV) [District Finance] 2016-17,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2016-17,Instruction Expenditures - Total (E13) [District Finance] 2016-17,Salary - Instruction Expenditures (Z33) [District Finance] 2016-17
EAST BATON ROUGE PARISH,Louisiana,LOUISIANA,East Baton Rouge Parish,1-Regular local school district that is NOT a component of a supervisory union,40579,20292,20287,30,33,696,681,1697,1573,15488,15704,2191,2124,54,38,136,134,3817.94,10.63,204.84,2281.94,1198.89,7065.89,628729000,84468000,175572000,368689000,15494,270892000,174440000
EAST CARROLL PARISH,Louisiana,LOUISIANA,East Carroll Parish,1-Regular local school district that is NOT a component of a supervisory union,1049,535,506,–,–,2,–,1,3,533,508,2,–,–,–,–,–,62.28,16.84,3.00,33.93,22.35,172.70,13490000,2977000,7181000,3332000,12860,6359000,3406000
EAST FELICIANA PARISH,Louisiana,LOUISIANA,East Feliciana Parish,1-Regular local school district that is NOT a component of a supervisory union,2014,1002,1008,–,2,2,–,7,8,604,644,384,344,–,–,7,12,149.33,13.49,3.12,98.50,41.71,302.71,23840000,3826000,12016000,7998000,11837,12282000,6743000
EDGAR P. HARNEY SPIRIT OF EXCELLENCE ACADEMY,LOUISIANA,LOUISIANA,RSD-Spirit of Excellence Academy,7-Independent Charter District,317,154,155,–,–,–,–,12,9,144,148,2,2,–,–,–,–,20.00,15.85,1.00,18.00,1.00,44.81,3548000,340000,1430000,1778000,11192,1774000,1373000
ESPERANZA CHARTER SCHOOL,LOUISIANA,LOUISIANA,RSD-Choice Foundation,7-Independent Charter District,518,270,243,–,–,1,–,152,148,115,94,3,2,–,–,1,2,29.79,17.39,2.00,24.42,3.37,59.35,6141000,841000,2438000,2862000,11855,3104000,2290000
EVANGELINE PARISH,Louisiana,LOUISIANA,Evangeline Parish,1-Regular local school district that is NOT a component of a supervisory union,5974,3073,2900,7,5,10,9,51,51,1145,1092,1780,1680,1,–,79,64,311.14,19.20,14.03,188.34,100.21,679.08,60811000,8138000,36412000,16261000,10179,31121000,19091000
FANNIE C. WILLIAMS CHARTER SCHOOL,LOUISIANA,LOUISIANA,RSD-Community Leaders Advocating Student Success,7-Independent Charter District,607,315,289,1,–,2,2,14,14,297,272,1,2,–,–,1,1,65.67,9.24,5.82,55.92,="0.00",108.01,6589000,776000,2572000,3241000,10855,4053000,2808000
FRANKLIN PARISH,Louisiana,LOUISIANA,Franklin Parish,1-Regular local school district that is NOT a component of a supervisory union,3094,1561,1530,–,1,4,4,12,13,803,815,719,670,–,–,25,28,285.41,10.84,13.92,174.35,87.17,554.65,35816000,6731000,20816000,8269000,11576,17869000,10493000
G W CARVER HIGH SCHOOL,LOUISIANA,LOUISIANA,RSD-Collegiate Academies,7-Independent Charter District,769,428,337,–,1,8,8,25,27,390,288,8,12,–,–,–,2,48.30,15.92,†,†,48.30,113.47,10335000,1355000,4571000,4409000,13440,4500000,3304000
GEO PREP ACADEMY OF GREATER BATON ROUGE,LOUISIANA,LOUISIANA,GEO Prep Academy of Greater Baton Rouge,7-Independent Charter District,255,150,97,–,–,–,–,6,–,146,98,2,2,–,–,–,1,14.00,18.21,2.00,11.00,1.00,34.00,3293000,339000,1102000,1852000,12914,1826000,1319000
GRAMBLING STATE LAB SCHOOLS,Louisiana,LOUISIANA,Grambling State Lab Schools,8-Other education agencies,†,-14,-14,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,–,–,–,–,–,†,–,–
GRANT PARISH,Louisiana,LOUISIANA,Grant Parish,1-Regular local school district that is NOT a component of a supervisory union,3036,1604,1431,4,14,8,4,27,18,208,164,1328,1204,2,–,27,28,225.47,13.47,11.93,121.25,90.29,450.49,32846000,3526000,22537000,6783000,10819,16025000,10150000
GREATER GRACE CHARTER ACADEMY INC,LOUISIANA,LOUISIANA,Greater Grace Charter Academy Inc.,7-Independent Charter District,81,40,41,="0",="0",="0",="0",="0",="0",40,39,="0",2,="0",="0",="0",="0",9.38,8.64,1.00,7.71,="0.67",17.34,1441000,103000,408000,930000,17790,499000,267000
HARRIET TUBMAN CHARTER SCHOOL,LOUISIANA,LOUISIANA,RSD-Crescent City Schools,7-Independent Charter District,623,319,299,–,–,1,–,22,24,286,274,11,1,–,–,1,3,39.61,15.73,="0.90",35.32,3.39,92.67,7982000,1244000,3066000,3672000,12812,3862000,2592000
HOWARD SCHOOL,Louisiana,LOUISIANA,Howard School,8-Other education agencies,81,40,41,="0",1,="0",="0",="0",="0",20,26,20,14,="0",="0",="0",="0",2.67,30.34,†,2.17,="0.50",3.17,–,–,–,–,="0",–,–
IBERIA PARISH,Louisiana,LOUISIANA,Iberia Parish,1-Regular local school district that is NOT a component of a supervisory union,13471,6863,6607,11,10,236,220,305,276,2956,2880,3172,3019,4,–,179,203,772.04,17.45,48.00,486.61,209.93,1352.26,142420000,18960000,76327000,47133000,10572,75461000,51596000
IBERVILLE CHARTER ACADEMY,LOUISIANA,LOUISIANA,Iberville Charter Academy,7-Independent Charter District,279,155,116,–,–,–,–,4,2,114,88,41,30,–,–,–,–,21.64,12.89,2.00,8.83,10.81,41.62,4524000,390000,867000,3267000,16215,2030000,1342000
IBERVILLE PARISH,Louisiana,LOUISIANA,Iberville Parish,1-Regular local school district that is NOT a component of a supervisory union,4977,2529,2446,1,2,17,14,52,49,1677,1665,752,696,–,–,31,21,416.11,11.96,26.99,229.28,132.09,805.88,93331000,11169000,15176000,66986000,18752,39212000,23147000
IMPACT CHARTER SCHOOL,LOUISIANA,LOUISIANA,Impact Charter Elementary,7-Independent Charter District,349,166,176,–,2,–,–,1,3,165,173,4,1,–,–,–,–,23.00,15.17,5.51,17.49,†,40.62,4006000,640000,1636000,1730000,11479,1721000,791000
